Autor1,Autor2,Score
97754.0,117169.0,0.9999932
108148.0,46003.0,0.99997914
45692.0,125119.0,0.9998927
81387.0,70781.0,0.9997212
47776.0,25773.0,0.9996966
114715.0,81370.0,0.9993975
70781.0,124713.0,0.9988514
114715.0,125119.0,0.99881184
93624.0,45692.0,0.99840826
55837.0,13871.0,0.9983754
47776.0,114715.0,0.99820554
96002.0,17737.0,0.9971624
47056.0,132226.0,0.9961755
11707.0,124145.0,0.9960963
47056.0,75042.0,0.9960813
33364.0,69704.0,0.9960782
74084.0,123134.0,0.99604684
77416.0,124145.0,0.99604356
69704.0,96241.0,0.9960381
11707.0,104467.0,0.99602556
