Autor1,Autor2,Score
44612.0,62821.0,1.0
111161.0,93504.0,1.0
53213.0,44612.0,1.0
92790.0,62821.0,1.0
21718.0,90402.0,0.9999999
28516.0,53213.0,0.9999999
111161.0,89732.0,0.9999999
18314.0,44612.0,0.99999976
93504.0,75223.0,0.99999976
53213.0,117350.0,0.99999976
90402.0,89732.0,0.99999964
47968.0,89732.0,0.99999964
50808.0,62821.0,0.99999964
38966.0,53213.0,0.99999964
21718.0,49118.0,0.99999964
92790.0,75223.0,0.99999964
35290.0,52682.0,0.9999993
89732.0,75223.0,0.9999993
94235.0,90402.0,0.9999989
53213.0,85451.0,0.9999989
