Autor1,Autor2,Score
28523.0,121081.0,0.0000
55500.0,11412.0,1.0000
48000.0,113481.0,0.0000
128297.0,117811.0,0.0000
51690.0,85972.0,1.0000
98471.0,57447.0,0.0000
114249.0,114785.0,0.0000
19619.0,27652.0,1.0000
61157.0,105404.0,0.0000
54681.0,111223.0,0.0000
67580.0,88663.0,0.0000
124566.0,49569.0,0.0000
122193.0,18533.0,1.0000
77516.0,77786.0,1.0000
40495.0,53710.0,0.0000
19695.0,97491.0,0.0000
21458.0,61395.0,1.0000
118630.0,80811.0,0.0000
43647.0,11154.0,0.0000
60075.0,50244.0,0.0000
1776.0,36833.0,0.0000
92790.0,13870.0,0.0000
97754.0,117169.0,1.0000
25471.0,57470.0,0.0000
21144.0,75119.0,1.0000
103115.0,106851.0,0.0000
110795.0,40170.0,0.0000
53568.0,87187.0,0.0000
7894.0,126847.0,0.0000
115607.0,47640.0,0.0000
36198.0,109464.0,1.0000
57419.0,85940.0,1.0000
66058.0,114758.0,0.0000
115607.0,89732.0,1.0000
40978.0,120425.0,0.0000
122193.0,35411.0,1.0000
94138.0,52870.0,0.0000
94357.0,124094.0,1.0000
27805.0,128369.0,0.0000
60471.0,14382.0,0.0000
110974.0,128875.0,0.0000
82947.0,106223.0,0.0000
100593.0,122751.0,1.0000
7325.0,2312.0,0.0000
128875.0,39108.0,0.0000
63552.0,73589.0,0.0000
19546.0,44386.0,0.0000
71703.0,25538.0,0.0000
7829.0,15760.0,1.0000
89812.0,110608.0,0.0000
24261.0,109415.0,0.0000
6058.0,70830.0,0.0000
103447.0,61827.0,0.0000
82115.0,59793.0,1.0000
68673.0,69604.0,0.0000
111683.0,80439.0,1.0000
2217.0,35141.0,1.0000
8273.0,94833.0,0.0000
71366.0,73074.0,0.0000
94648.0,122926.0,1.0000
109000.0,45891.0,1.0000
7205.0,46415.0,0.0000
110248.0,131986.0,0.0000
28887.0,51015.0,0.0000
17756.0,39696.0,0.0000
76273.0,89835.0,0.0000
120091.0,117811.0,0.0000
2206.0,87046.0,0.0000
45163.0,90402.0,0.0000
24075.0,37653.0,0.0000
6790.0,92108.0,0.0000
72498.0,132663.0,0.0000
16123.0,112344.0,0.0000
51847.0,39577.0,0.0000
41202.0,51962.0,1.0000
19204.0,13557.0,0.0000
109025.0,24895.0,0.0000
69582.0,93504.0,0.0000
17002.0,120167.0,1.0000
32432.0,53455.0,0.0000
34332.0,72292.0,0.0000
111161.0,33526.0,0.0000
19911.0,124401.0,1.0000
33751.0,101467.0,0.0000
78070.0,87909.0,0.0000
46847.0,60088.0,0.0000
88184.0,108906.0,0.0000
51951.0,78104.0,0.0000
45856.0,112886.0,0.0000
63803.0,2520.0,1.0000
86787.0,31782.0,0.0000
44237.0,125766.0,0.0000
51825.0,42429.0,0.0000
82373.0,43989.0,1.0000
108482.0,43012.0,0.0000
39789.0,52909.0,0.0000
93603.0,101579.0,1.0000
21859.0,122600.0,1.0000
129530.0,102954.0,0.0000
46400.0,99193.0,0.0000
598.0,11318.0,0.0000
3591.0,72738.0,0.0000
51933.0,31878.0,0.0000
65985.0,106883.0,1.0000
80642.0,61812.0,0.0000
61429.0,25057.0,0.0000
124458.0,129201.0,0.0000
8273.0,97249.0,1.0000
25501.0,37842.0,0.0000
58703.0,125913.0,1.0000
6831.0,25931.0,0.0000
127886.0,86202.0,1.0000
15607.0,95700.0,0.0000
86951.0,4272.0,0.0000
50897.0,119416.0,1.0000
15765.0,97402.0,0.0000
54430.0,112163.0,1.0000
34011.0,50105.0,1.0000
127310.0,48634.0,0.0000
90645.0,125184.0,0.0000
83351.0,130519.0,1.0000
11104.0,105851.0,0.0000
97415.0,117830.0,0.0000
113386.0,103354.0,0.0000
73205.0,89173.0,0.0000
122908.0,86566.0,0.0000
33921.0,120122.0,0.0000
117615.0,101780.0,0.0000
63969.0,115337.0,1.0000
73865.0,119906.0,0.0000
96525.0,54576.0,0.0000
7816.0,70855.0,1.0000
81491.0,4349.0,1.0000
16842.0,75996.0,0.0000
55876.0,74305.0,1.0000
17861.0,27576.0,1.0000
50675.0,130429.0,0.0000
73703.0,12449.0,0.0000
3334.0,90216.0,0.0000
95036.0,28224.0,0.0000
6831.0,39577.0,0.0000
70413.0,93903.0,0.0000
71854.0,41190.0,0.0000
64054.0,52956.0,0.0000
60102.0,65814.0,0.0000
107317.0,18909.0,0.0000
46599.0,76949.0,0.0000
112695.0,62346.0,0.0000
63827.0,110620.0,0.0000
84737.0,113737.0,1.0000
95860.0,121831.0,0.0000
55823.0,122461.0,1.0000
132921.0,75786.0,0.0000
76071.0,59801.0,1.0000
53073.0,119047.0,0.0000
21757.0,80358.0,1.0000
94743.0,101300.0,0.0000
73543.0,87214.0,0.0000
47094.0,36044.0,0.0000
56938.0,59719.0,1.0000
118142.0,8303.0,0.0000
88339.0,42697.0,0.0000
55999.0,72046.0,0.0000
132845.0,53371.0,1.0000
30698.0,72699.0,0.0000
78671.0,54477.0,0.0000
119678.0,19562.0,0.0000
125524.0,77240.0,1.0000
11633.0,38317.0,0.0000
69090.0,126168.0,1.0000
120425.0,88481.0,0.0000
36052.0,72972.0,0.0000
110670.0,16855.0,0.0000
16190.0,89194.0,1.0000
57508.0,96450.0,1.0000
77152.0,105680.0,0.0000
123456.0,104177.0,0.0000
38415.0,120.0,1.0000
15015.0,6908.0,0.0000
34608.0,21300.0,0.0000
93647.0,95062.0,0.0000
2444.0,106888.0,1.0000
54179.0,37259.0,0.0000
14579.0,59081.0,1.0000
73703.0,129183.0,0.0000
8053.0,115963.0,0.0000
